model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-52.71234130859375,-50.58549880981445,-2.126842498779297
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-62.709571838378906,-68.85740661621094,6.147834777832031
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-56.80388641357422,-50.41985321044922,-6.384033203125
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and kiwis,-61.901126861572266,-59.508148193359375,-2.3929786682128906
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and kiwis,-53.8096809387207,-51.94709777832031,-1.8625831604003906
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-58.4892692565918,-58.29063034057617,-0.198638916015625
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and ibex,-69.99156188964844,-67.1317138671875,-2.8598480224609375
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and harpies,-61.1220588684082,-66.78193664550781,5.659877777099609
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and keas,-63.380889892578125,-65.02238464355469,1.6414947509765625
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-60.39099884033203,-61.838279724121094,1.4472808837890625
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wombats,-65.36015319824219,-69.09884643554688,3.7386932373046875
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and lions,-62.813045501708984,-57.45419692993164,-5.358848571777344
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-64.8812026977539,-71.31105041503906,6.429847717285156
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and platypuses,-76.23845672607422,-74.50558471679688,-1.7328720092773438
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and platypuses,-69.76171112060547,-71.60520935058594,1.8434982299804688
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",keas and platypuses,-62.82415771484375,-70.84005737304688,8.015899658203125
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-70.1602554321289,-63.15265655517578,-7.007598876953125
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and wolverines,-52.99174499511719,-47.364444732666016,-5.627300262451172
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",keas and wolverines,-53.29163360595703,-52.25666427612305,-1.0349693298339844
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-51.29771041870117,-52.6965446472168,1.398834228515625
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and ibex,-73.00901794433594,-69.97376251220703,-3.0352554321289062
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and harpies,-64.88235473632812,-66.82342529296875,1.941070556640625
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and keas,-64.48917388916016,-67.4488525390625,2.9596786499023438
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and narwhals,-74.37519836425781,-74.13082885742188,-0.2443695068359375
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and narwhals,-71.33720397949219,-63.488685607910156,-7.848518371582031
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",keas and narwhals,-60.52323913574219,-69.02204895019531,8.498809814453125
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and ocelots,-61.7080192565918,-61.36383819580078,-0.3441810607910156
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",keas and ocelots,-65.62423706054688,-54.608360290527344,-11.015876770019531
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-60.31647872924805,-57.24147415161133,-3.0750045776367188
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and ibex,-68.08709716796875,-63.51347732543945,-4.573619842529297
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and keas,-61.81153869628906,-65.14543151855469,3.333892822265625
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ibex,-65.2932357788086,-61.79768371582031,-3.4955520629882812
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and koalas,-59.7200813293457,-56.977657318115234,-2.7424240112304688
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and sloths,-56.93214416503906,-57.672664642333984,0.7405204772949219
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-78.14334869384766,-76.89500427246094,-1.2483444213867188
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and keas,-57.088233947753906,-56.406585693359375,-0.6816482543945312
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and harpies,-53.762969970703125,-52.704673767089844,-1.0582962036132812
qing-yao/relfreq_nunique_nb300k_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and koalas,-51.93130111694336,-50.78346633911133,-1.1478347778320312
